date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-30,California,State,Alpha,2.0,1.85,10.0,2.699575780949
2021-01-30,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-30,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-30,California,State,Total,108.0,100.0,370.42857142857,100.0
2021-01-30,California,State,Other,27.0,25.0,124.0,33.474739683764
2021-01-30,California,State,Delta,0.0,0.0,0.57142857142,0.154261473197
2021-01-30,California,State,Gamma,0.0,0.0,0.71428571428,0.192826841496
2021-01-30,California,State,Epsilon,79.0,73.15,234.85714285714,63.401465483995
2021-01-31,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-31,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-31,California,State,Beta,0.0,0.0,0.28571428571,0.071813285458
2021-01-31,California,State,Other,82.0,34.45,135.14285714285,33.967684021544
2021-01-31,California,State,Gamma,0.0,0.0,0.71428571428,0.179533213645
2021-01-31,California,State,Delta,0.0,0.0,0.57142857142,0.143626570916
2021-01-31,California,State,Alpha,2.0,0.84,9.28571428571,2.333931777379
2021-01-31,California,State,Epsilon,154.0,64.71,251.85714285714,63.303411131059
2021-01-31,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-31,California,State,Total,238.0,100.0,397.85714285714,100.0
2021-02-01,California,State,Gamma,0.0,0.0,0.71428571428,0.143389733295
2021-02-01,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-01,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-01,California,State,Alpha,10.0,1.27,10.14285714285,2.03613421279
2021-02-01,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-01,California,State,Delta,0.0,0.0,0.57142857142,0.114711786636
2021-02-01,California,State,Total,786.0,100.0,498.14285714285,100.0
2021-02-01,California,State,Beta,0.0,0.0,0.28571428571,0.057355893318
2021-02-01,California,State,Epsilon,554.0,70.48,324.14285714285,65.070260969315
2021-02-01,California,State,Other,222.0,28.24,162.28571428571,32.578147404646
2021-02-02,California,State,Other,296.0,22.73,173.57142857142,28.825622775801
2021-02-02,California,State,Alpha,33.0,2.53,13.57142857142,2.253855278766
2021-02-02,California,State,Total,1302.0,100.0,602.14285714285,100.0
2021-02-02,California,State,Epsilon,973.0,74.73,413.57142857142,68.683274021352
2021-02-02,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-02,California,State,Delta,0.0,0.0,0.42857142857,0.071174377224
2021-02-02,California,State,Gamma,0.0,0.0,0.71428571428,0.11862396204
2021-02-02,California,State,Beta,0.0,0.0,0.28571428571,0.047449584816
2021-02-02,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-02,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-03,California,State,Beta,1.0,0.09,0.42857142857,0.065217391304
2021-02-03,California,State,Epsilon,808.0,74.33,463.42857142857,70.521739130435
2021-02-03,California,State,Alpha,29.0,2.67,16.0,2.434782608696
2021-02-03,California,State,Total,1087.0,100.0,657.14285714285,100.0
2021-02-03,California,State,Gamma,0.0,0.0,0.71428571428,0.108695652174
2021-02-03,California,State,Delta,0.0,0.0,0.28571428571,0.04347826087
2021-02-03,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-03,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-03,California,State,Other,249.0,22.91,176.28571428571,26.826086956522
2021-02-03,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-04,California,State,Total,528.0,100.0,608.57142857142,100.0
2021-02-04,California,State,Gamma,0.0,0.0,0.28571428571,0.046948356808
2021-02-04,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-04,California,State,Beta,0.0,0.0,0.14285714285,0.023474178404
2021-02-04,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-04,California,State,Alpha,15.0,2.84,14.42857142857,2.370892018779
2021-02-04,California,State,Epsilon,406.0,76.89,445.57142857142,73.215962441315
2021-02-04,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-04,California,State,Other,107.0,20.27,148.0,24.319248826291
2021-02-04,California,State,Delta,0.0,0.0,0.14285714285,0.023474178404
2021-02-05,California,State,Total,285.0,100.0,619.14285714285,100.0
2021-02-05,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-05,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-05,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-05,California,State,Alpha,23.0,8.07,16.28571428571,2.630364559299
2021-02-05,California,State,Beta,0.0,0.0,0.14285714285,0.023073373327
2021-02-05,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-05,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-05,California,State,Other,75.0,26.32,151.14285714285,24.411628980157
2021-02-05,California,State,Epsilon,187.0,65.61,451.57142857142,72.934933087217
2021-02-06,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-06,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-06,California,State,Alpha,15.0,3.91,18.14285714285,2.754880694143
2021-02-06,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-06,California,State,Beta,0.0,0.0,0.14285714285,0.02169197397
2021-02-06,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-06,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-06,California,State,Other,99.0,25.78,161.42857142857,24.511930585683
2021-02-06,California,State,Epsilon,270.0,70.31,478.85714285714,72.711496746204
2021-02-06,California,State,Total,384.0,100.0,658.57142857142,100.0
2021-02-07,California,State,Beta,0.0,0.0,0.14285714285,0.021786492375
2021-02-07,California,State,Other,43.0,19.72,155.85714285714,23.769063180828
2021-02-07,California,State,Total,218.0,100.0,655.71428571428,100.0
2021-02-07,California,State,Alpha,4.0,1.83,18.42857142857,2.81045751634
2021-02-07,California,State,Epsilon,170.0,77.98,481.14285714285,73.376906318083
2021-02-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-07,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-07,California,State,Delta,1.0,0.46,0.14285714285,0.021786492375
2021-02-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-07,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-08,California,State,Delta,0.0,0.0,0.14285714285,0.023255813953
2021-02-08,California,State,Total,496.0,100.0,614.28571428571,100.0
2021-02-08,California,State,Alpha,18.0,3.63,19.57142857142,3.186046511628
2021-02-08,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-08,California,State,Other,110.0,22.18,139.85714285714,22.767441860465
2021-02-08,California,State,Beta,0.0,0.0,0.14285714285,0.023255813953
2021-02-08,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-08,California,State,Epsilon,368.0,74.19,454.57142857142,74.0
2021-02-09,California,State,Mu,0.0,0.0,0.0,0.0
